,ITEM,DesignItemId,Quantity,Designator,Value,Description,Footprint,Manufacturer,Manufacturer Part Number,#Column Name Error:' MANUFACTURER Lifecycle 1,#Column Name Error:' Supplier 1,#Column Name Error:' Supplier Part Number 1,Case/Package,Case/Packages,Max Power Dissipation,Res/ESR,Voltage Rating,Power Rating,Pins,LibRef,Max Operating Temperature,Min Operating Temperature,Tolerance,Frequency
,134,CMP-ICS-000237-2,2,"U106, U107",ADuM260N0BRIZ-RL,Digital Isolator CMOS 6-CH 150Mbps 16-Pin SOIC W T/R,SOIC127P1030X244-16N,ANALOG DEVICES,ADuM260N0BRIZ-RL,,,,,SOIC,,,5kV,,16,CMP-ICS-000237-2,125°C,-40°C,,
,135,CMP-ICS-000166-13,1,U108,ADUM261N0BRIZ-RL-ND,Digital Isolator CMOS 6-CH 150Mbps 16-Pin SOIC W T/R,SOIC16P127_1030X1030X265L83X41N,ANALOG DEVICES,ADUM261N0BRIZ-RL-ND,,,,SOIC,SOIC16,,,,,16,CMP-ICS-000166-13,125°C,-40°C,,
,136,CMP-ICS-000181-6,1,U701,MT48LC16M16A2B4-6AAAT:G,DRAM Chip SDRAM 256M-Bit 16Mx16 3.3V 54-Pin VFBGA,BGA54CP80_9X9_800X800X100B45N,MICRON,MT48LC16M16A2B4-6AAAT:G,,,,,VFBGA,,,,,54,CMP-ICS-000181-6,105°C,-40°C,,
,137,CMP-ICS-000120-7,1,U702,MR5A16AUMA45,IC MRAM 32MBIT (2MBx16) 45ns ECC MR5A16AUMA45 48FBGA,BGA48CP75_6X8_1000X1000X135B36N,Everspin,MR5A16AUMA45,,,,,48FBGA,,,3.6V,,48,CMP-ICS-000120-7,125°C,-40°C,,
,138,CMP-ICS-000067-5,2,"U803, U805",MCP9700T-H/LT,IC SENSOR TEMP RATIOMETRIC 10 mV/°C+500mV  MCP9700T-H/LT SC-70-5,SOT65P210X110-5N,Micro Chip,MCP9700T-H/LT,,,,,SOT65P210X110-5N,,,5.5V,,5,CMP-ICS-000067-5,150°C,-40°C,,
,139,CMP-CNS-000011-3,1,Y1,100MHz,XTAL OSC XO 100.00MHZ CMOS SIT8924BAB83-XXN-100.000000 SMD 4Pin 7.0x5.0,OSCDFN4_500X700X100L110X140N,SiTime,SIT8924BAB83-XXN-100.000000,,,,,SIT8924xx_7.0x5.0,,,,,4,CMP-CNS-000011-3,125°C,-40°C,,100MHz
,Total,,954,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
